"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "comment", "blank", "total"
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, -16, 0, -12, -28
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 16, 0, 12, 28
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\lookup.ts", "TypeScript", 100, 0, 0, 0, 1, 101
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\index.ts", "TypeScript", 15, 0, 0, 0, 1, 16
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\routes\DepartmentQueryRoutes.ts", "TypeScript", 9, 0, 0, -10, 1, 0
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\routes\StaffFileQueryRoutes.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\routes\SupervisorQueryRoutes.ts", "TypeScript", 9, 0, 0, 0, 1, 10
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\routes\TeamQueryRoutes.ts", "TypeScript", 9, 0, 0, 0, 1, 10
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\routes\query.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\tsconfig.json", "JSON with Comments", 0, 1, 0, -1, 0, 0
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\types\common\ReturnTypes.ts", "TypeScript", 15, 0, 0, 0, 3, 18
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\utils\bootCheck.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\utils\sendError.ts", "TypeScript", 4, 0, 0, 0, 0, 4
"Total", "-", 170, 1, 0, -11, 9, 169
