"filename", "language", "TypeScript", "JSON", "Markdown", "JavaScript", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\.env", "Properties", 0, 0, 0, 0, 0, -21, 0, 0, -21
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\.github\workflows\node.js.yml", "YAML", 0, 0, 0, 0, 20, 0, 3, 7, 30
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\addStaff.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\db.ts", "TypeScript", -53, 0, 0, 0, 0, 0, 0, -2, -55
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\hire.ts", "TypeScript", -262, 0, 0, 0, 0, 0, -3, -11, -276
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\lookup.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 132
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\outOfOffice.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\permit.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, -1, 14
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\send-email.ts", "TypeScript", -57, 0, 0, 0, 0, 0, 0, -3, -60
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\ticket.ts", "TypeScript", -111, 0, 0, 0, 0, 0, 0, -2, -113
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\config.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\ecosystem.config.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\events\ooo-msgcreate.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\events\ready.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\index.ts", "TypeScript", -393, 0, 0, 0, 0, 0, 6, -22, -409
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\legacy\db.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 54, 1, 55
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\legacy\hire.ts", "TypeScript", 267, 0, 0, 0, 0, 0, 3, 11, 281
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\legacy\modifyProfile.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 3, 44
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\legacy\send-email.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 3, 65
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\models\Models.ts", "TypeScript", 259, 0, 0, 0, 0, 0, 6, 25, 290
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\models\TicketStorage.ts", "TypeScript", -24, 0, 0, 0, 0, 0, 0, -3, -27
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 872, 0, 0, 138, 1010
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\routes\AuthQueryRoutes.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 22, 0, 24
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\routes\StaffFileQueryRoutes.ts", "TypeScript", -20, 0, 0, 0, 0, 0, 0, 0, -20
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\templates\template.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\textCommands\update.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\utils\bootCheck.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 1, 9, 64
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\utils\generateAuditReport.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 31, 5, 28, 8, 892, -21, 93, 167, 1203
