"filename", "language", "Markdown", "TypeScript", "JavaScript", "JSON with Comments", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\.github\workflows\node.js.yml", "YAML", 0, 0, 0, 0, 0, 20, 3, 7, 30
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\ISSUE_TEMPLATE\feature_request.md", "Markdown", 16, 0, 0, 0, 0, 0, 0, 12, 28
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\README.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\api-v1\api-doc.yaml", "YAML", 0, 0, 0, 0, 0, 15, 0, 0, 15
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\appcommands\deploy.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\appcommands\undeploy.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 6, 33
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\cmd.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\addStaff.ts", "TypeScript", 0, 192, 0, 0, 0, 0, 0, 2, 194
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\lookup.ts", "TypeScript", 0, 452, 0, 0, 0, 0, 0, 4, 456
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\outOfOffice.ts", "TypeScript", 0, 96, 0, 0, 0, 0, 0, 2, 98
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\permit.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\commands\sync.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\config.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\ecosystem.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\events\ooo-msgcreate.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\events\ready.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 1, 1, 17
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\index.ts", "TypeScript", 0, 268, 0, 0, 0, 0, 30, 48, 346
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\jsdoc.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\legacy\db.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 54, 1, 55
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\legacy\hire.ts", "TypeScript", 0, 267, 0, 0, 0, 0, 3, 11, 281
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\legacy\modifyProfile.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\legacy\send-email.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 3, 65
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\models\Models.ts", "TypeScript", 0, 259, 0, 0, 0, 0, 6, 25, 290
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\package.json", "JSON", 0, 0, 0, 0, 53, 0, 0, 0, 53
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 2843, 0, 458, 3301
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\routes\AuthQueryRoutes.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 22, 3, 49
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\routes\DepartmentQueryRoutes.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 3, 42
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\routes\PositionQueryRoutes.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 4, 46
